song,artist,rank,lyrics
Umbrella (feat. Jay-Z),Rihanna,3.984.455,"Uh, huh, uh, huh (yeah, Rihanna) Uh, huh, uh, huh (good girl gone bad) Uh, huh, uh, huh (take three, action) Uh, huh, uh, huh (Hov) No clouds in my stones Let it rain, I hydroplane in the bank (eh, eh, eh) Coming down with the Dow Jones When the clouds come, we gone, we Roc-A-Fella (eh, eh, eh, eh) We fly higher than weather, in G5's or better You know me In anticipation for precipitation stack chips for the rainy day (eh, eh, eh) Jay, Rain Man is back (eh, eh, eh) With little Ms. Sunshine, Rihanna, where you at? You have my heart And we'll never be worlds apart May be in magazines But you'll still be my star Baby, 'cause in the dark You can't see shiny cars And that's when you need me there With you I'll always share Because When the Sun shine, we shine together Told you I'll be here forever Said I'll always be your friend Took an oath, I'ma stick it out to the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella Ella, ella, eh, eh, eh Under my umbrella Ella, ella, eh, eh, eh Under my umbrella Ella, ella, eh, eh, eh Under my umbrella Ella, ella, eh, eh, eh, eh, eh, eh These fancy things Will never come in between You're part of my entity Here for infinity When the war has took its part When the world has dealt its cards If the hand is hard Together we'll mend your heart Because When the Sun shine, we shine together Told you I'll be here forever Said I'll always be your friend Took an oath, I'ma stick it out to the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella Ella, ella, eh, eh, eh Under my umbrella Ella, ella, eh, eh, eh Under my umbrella Ella, ella, eh, eh, eh Under my umbrella Ella, ella, eh, eh, eh, eh, eh, eh You can run into my arms It's okay, don't be alarmed Come into me There's no distance in between our love So go on and let the rain pour I'll be all you need and more, oh Because When the Sun shine, we shine together Told you I'll be here forever Said I'll always be your friend Took an oath, I'ma stick it out to the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella Ella, ella, eh, eh, eh Under my umbrella Ella, ella, eh, eh, eh Under my umbrella Ella, ella, eh, eh, eh Under my umbrella Ella, ella, eh, eh, eh, eh, eh, eh It's rainin', rainin' Ooh, baby, it's rainin', rainin' Baby, come here to me Come into me It's rainin', rainin' Ooh, baby, it's rainin', rainin' You can always come into me Come into me It's pourin' rain It's pourin' rain Come here to me Come into me "
The Hills,The Weeknd,2.941.004,"Yeah Yeah Yeah Your man on the road, he doin' promo You said: Keep our business on the low-low I'm just tryna get you out the friend zone 'Cause you look even better than the photos I can't find your house, send me the info Drivin' through the gated residential Found out I was comin', sent your friends home Keep on tryna hide it, but your friends know I only call you when it's half-past five The only time that I'll be by your side I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, yeah I only call you when it's half-past five The only time I'd ever call you mine I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, babe I'ma let you know and keep it simple Tryna keep it up don't seem so simple I just fucked two bitches 'fore I saw you And you gon' have to do it at my tempo Always tryna send me off to rehab Drugs started feelin' like it's decaf I'm just tryna live life for the moment And all these motherfuckers want a relapse I only call you when it's half-past five The only time that I'll be by your side I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, yeah I only call you when it's half-past five The only time I'd ever call you mine I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, babe Hills have eyes, the hills have eyes Who are you to judge? Who are you to judge? Hide your lies (hide your lies) Girl, hide your lies (hide your lies, oh, baby) Only you to trust (only you) Only you I only call you when it's half-past five The only time that I'll be by your side I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, yeah I only call you when it's half-past five The only time I'd ever call you mine I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, babe (Ewedihalehu) (Yene konjo, ewedihalehu) (Yene fikir, fikir, fikir, fikir) (Yene fikir, fikir, fikir, fikir) (Ewedihalehu) (Yene konjo, ewedihalehu) "
Don't Look Back In Anger,Oasis,3.087.709,"Slip inside the eye of your mind Don't you know you might find A better place to play? You said that you'd never been But all the things that you've seen Will slowly fade away So, I start a revolution from my bed 'Cause you said the brains I had went to my head Step outside, summertime's in bloom Stand up beside the fireplace Take that look from off your face You ain't ever gonna burn my heart out And so, Sally can wait She knows it's too late As we're walking on by Her soul slides away But don't look back in anger I heard you say Take me to the place where you go Where nobody knows If it's night or day Please, don't put your life in the hands Of a rock'n'roll band Who'll throw it all away I'm gonna start a revolution from my bed 'Cause you said the brains I had went to my head Step outside, 'cause summertime's in bloom Stand up beside the fireplace Take that look from off your face 'Cause you ain't ever gonna burn my heart out And so, Sally can wait She knows it's too late As she's walking on by My soul slides away But don't look back in anger I heard you say So, Sally can wait She knows it's too late As we're walking on by Her soul slides away But don't look back in anger I heard you say So, Sally can wait She knows it's too late As she's walking on by My soul slides away But don't look back in anger Don't look back in anger I heard you say At least not today "
Entre Nós,Ministério Amor e Adoração,178.346,"O Pão do Céu está aqui entre nós É o Cordeiro de Deus Amor maior não há em nenhum lugar Que o sacrifício deste altar Anjos cantando entre nós O Céu e a Terra são um só coração Nesta Santa Comunhão Jesus visitando a imperfeição O homem que encontra redenção, tudo aqui Nesta Santa Comunhão O dom do Pai, está aqui entre nós Neste Vinho e neste Pão Oh, luz maior, se acende em nós, comunhão É pra nós a salvação Anjos cantando entre nós O Céu e a Terra são um só coração Nesta Santa Comunhão Jesus visitando a imperfeição O homem que encontra redenção, tudo aqui Nesta Santa Comunhão Anjos cantando entre nós O Céu e a Terra são um só coração Nesta Santa Comunhão Jesus visitando a imperfeição O homem que encontra redenção, tudo aqui Nesta Santa Comunhão "
Apaixona Muita Gente (part. Rionegro & Solimões),CountryBeat,10.009,"Quando ela chega no rodeio, o povo para pra ver Ela faz cowboy xonar, ela faz playboy sofrer Ela é linda quando acorda e quando vai pro rolê Se não entendeu, eu vou explicar pra você Ela de salto apaixona muita gente Ela de bota apaixona muito mais De cabelo solto apaixona muita gente De chapelão ela apaixona, apaixona Apaixona muito mais Ela tem a senha, tem o molho e tem o mel Que deixa maluco os cara que usa chapéu Ela tem a senha, tem o molho e tem o mel Ela é boa demais, ai, ai, ai, meu Deus do céu Ela tem a senha, tem o molho e tem o mel Que deixa maluco os cara que usa chapéu Ela tem a senha, tem o molho e tem o mel Ela é boa demais, ai, ai, ai, meu Deus do céu Ela de salto apaixona muita gente Ela de bota apaixona muito mais De cabelo solto apaixona muita gente De chapelão ela apaixona, apaixona Apaixona muito mais Ela tem a senha, tem o molho e tem o mel Que deixa maluco os cara que usa chapéu Ela tem a senha, tem o molho e tem o mel Ela é boa demais, ai, ai, ai, meu Deus do céu Ela tem a senha, tem o molho e tem o mel Que deixa maluco os cara que usa chapéu Ela tem a senha, tem o molho e tem o mel Ela é boa demais, ai, ai, ai, meu Deus do céu Ela é boa demais, ai, ai, ai, meu Deus do céu "
Quero Descer (part. Nani Azevedo),Raquel Mello,2.140.591,"Quando meu eu E o meu orgulho descer comigo E se misturar Com as águas do rio Então subirei Como Naamã curado Eu abro mão de tudo que sou Só pra servir-te Oh, meu Senhor Eu abro mão de tudo que sou Só pra te adorar, Senhor Senhor, quebra o meu orgulho Eu quero descer e mergulhar Nas águas do teu amor Me purifica! Eu quero ser limpo Como Naamã, no teu poder Quando meu eu E o meu orgulho descer comigo E se misturar Com as águas do rio Então subirei Como Naamã curado Eu abro mão de tudo que sou Só pra servir-te Oh, meu Senhor Eu abro mão de tudo que sou Só pra te adorar, Senhor Senhor, quebra o meu orgulho Eu quero descer e mergulhar Nas águas do teu amor Me purifica! Eu quero ser limpo Como Naamã, no teu poder Senhor, quebra o meu orgulho Eu quero descer e mergulhar Nas águas do teu amor Me purifica! Eu quero ser limpo Como Naamã, no teu poder Senhor, quebra o meu orgulho Eu quero descer e mergulhar Nas águas do teu amor Me purifica! Eu quero ser limpo Como Naamã, no teu poder Como Naamã, no teu poder "
Semente do Sangue,Mara Lima,990.853,"Olhando o passado, eu vejo o sangue na arena Dos nossos irmãos primitivos, morrendo então E, como se fosse num vídeo, eu vejo as cenas Dos nossos irmãos devorados por fortes leões O sangue quente que corria Como enxurrada pelo chão Era a semente do evangelho Era sinal de salvação Pois cada alma que partia Ia direto ao Paraíso Mesmo morrendo aos milhões Pra Deus não era prejuízo Eu sou a semente do sangue, dos irmãos que morreram sangrando Pra manter o evangelho vencendo, eles iam morrendo De Cristo falando Eu sou a semente do sangue, dos irmãos que tiveram coragem De enfrentar os açoites e a morte E levar a mensagem Sei que Tiago foi morto ao ser decapitado E Pedro foi crucificado de forma cruel Sei que alguns foram mortos ao fio da espada Sei que, também, eles estão lá no seio de Deus Ninguém pensou em ser covarde, morreram mesmo por amor Não negaram um segundo que Jesus Cristo é salvador Eram firmados na promessa, por Jesus Cristo, garantida Quem for fiel até a morte terá a coroa da vida Eu sou a semente do sangue, dos irmãos que morreram sangrando Pra manter o evangelho vencendo, eles iam morrendo De Cristo falando Eu sou a semente do sangue, dos irmãos que tiveram coragem De enfrentar os açoites e a morte E levar a mensagem Eu sou a semente do sangue, dos irmãos que morreram sangrando Pra manter o evangelho vencendo, eles iam morrendo De Cristo falando Eu sou a semente do sangue, dos irmãos que tiveram coragem De enfrentar os açoites e a morte E levar a mensagem De enfrentar os açoites e a morte E levar a mensagem "
"SEQUÊNCIA FEITICEIRA (part. MC GW, MC Rodrigo do CN, MC Jhey e MC Nito)",PEDRO SAMPAIO,11.938,"Aê Mandaram me chamar? Eita porra Vai caralho (Pesado né?) Jeito que tu senta é gostoso demais Ow, bebê, eu quero replay Quando tu contrai, tu acaba com o pai Sem querer me enfeiticei Me enfeiticei Me enfeiticei Me enfeiticei Me enfeiticei Feiticeira faz feitiço (Me enfeiticei) Feitiço feiticeira faz feitiço (Me enfeiticei) Pare e fica na ponta do pé Engata na marcha ré Então vim Então vai no chão, bandida Já que eu sou teu preferido Me enfeitiça com essa bunda Que eu sei que você gosta disso Então vai no chão, bandida Já que eu sou teu preferido Me enfeitiça com essa bunda Que eu sei que você gosta disso Ae nunca deixe pra amanhã, o que tu pode fazer hoje E agora vai, vai Jeito que tu senta é gostoso demais Ow, bebê, eu quero replay Quando tu contrai, tu acaba com o pai Sem querer me enfeiticei Me enfeiticei Me enfeiticei Me enfeiticei Me enfeiticei Feiticeira faz feitiço (Me enfeiticei) Feitiço feiticeira faz feitiço (Me enfeiticei) Pare e fica na ponta do pé Engata na marcha ré Sem querer me enfeiticei "
Sem Palavras,Vanilda Bordieri,3.349.197,"Quando você fica triste O desespero insiste em te abater Angústia invade o seu peito Você não tem mais o que fazer Quando você senta e chora E não tem ninguém pra te ajudar Apenas dobre os seus joelhos Se não tem palavras, comece a chorar Mesmo em gemidos, o Senhor te ouvirá Até sem palavras Ele vai te responder Pois Ele entende quando você quer chorar Sabe de tudo mesmo antes de falar Ele conhece o teu sofrer, a tua dor Sabe perfeitamente onde ela está Por isso eu sei que mesmo sem palavras O Senhor te ouvirá Ao dobrar os seus joelhos Em meio às lágrimas, você clama a Deus Sua voz é um gemido Não tem palavras mais para pedir E em meio a sofrimento Que causa lamento, não sabe o que fazer Deus responde as orações Deixa o Espírito Santo falar com você Mesmo em gemidos, o Senhor te ouvirá Até sem palavras Ele vai te responder Pois Ele entende quando você quer chorar Sabe de tudo mesmo antes de falar Ele conhece o teu sofrer, a tua dor Sabe perfeitamente onde ela está Por isso eu sei que mesmo sem palavras O Senhor te ouvirá Mesmo em gemidos, o Senhor te ouvirá Até sem palavras Ele vai te responder Pois Ele entende quando você quer chorar Sabe de tudo mesmo antes de falar Ele conhece o teu sofrer, a tua dor Sabe perfeitamente onde ela está Por isso eu sei que mesmo sem palavras O Senhor te ouvirá O Senhor te ouvirá Que mesmo sem palavras o senhor te ouvirá O Senhor te ouvirá "
Roar,Katy Perry,5.040.834,"I used to bite my tongue and hold my breath Scared to rock the boat and make a mess So I sat quietly, agreed politely I guess that I forgot I had a choice I let you push me past the breaking point I stood for nothing, so I fell for everything You held me down, but I got up Already brushing off the dust You hear my voice, you hear that sound? Like thunder, gonna shake the ground You held me down, but I got up Get ready, ‘cause I've had enough I see it all, I see it now I got the eye of the tiger, a fighter Dancing through the fire 'Cause I am a champion And you're gonna hear me roar Louder, louder than a lion ‘Cause I am a champion And you're gonna hear me roar Oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh You're gonna hear me roar Now I'm floating like a butterfly Stinging like a bee, I earned my stripes I went from zero, to my own hero You held me down, but I got up Already brushing off the dust You hear my voice, your hear that sound? Like thunder, gonna shake the ground You held me down, but I got up Get ready, 'cause I've had enough I see it all, I see it now I got the eye of the tiger, a fighter Dancing through the fire 'Cause I am a champion And you're gonna hear me roar Louder, louder than a lion 'Cause I am a champion And you're gonna hear me roar Oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh You're gonna hear me roar Oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh (You'll hear me roar) Oh, oh, oh, oh, oh, oh, oh You're gonna hear me roar Roar, oh, roar, oh, roar I got the eye of the tiger, a fighter Dancing through the fire 'Cause I am a champion And you're gonna hear me roar Louder, louder than a lion 'Cause I am a champion And you're gonna hear me roar Oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh (yeah) Oh, oh, oh, oh, oh, oh, oh You're gonna hear me roar Oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh (You'll hear me roar) Oh, oh, oh, oh, oh, oh, oh You're gonna hear me roar "
Aclame ao Senhor,Diante do Trono,1.552.631,"Oh, oh Meu Jesus, Salvador Outro igual não há Todos os dias quero louvar As maravilhas de Teu amor Consolo, abrigo Força e refúgio é o Senhor Com todo o meu ser Com tudo o que sou Sempre Te adorarei Aclame ao Senhor, toda a terra e cantemos Poder, majestade e louvores ao Rei Montanhas se prostrem e rujam os mares Ao som de Teu nome Alegre Te louvo por Teus grandes feitos Firmado estarei, sempre Te amarei Incomparáveis são Tuas promessas pra mim, oh Meu Jesus, Salvador Outro igual não há Todos os dias quero louvar As maravilhas de Teu amor Consolo, abrigo Força e refúgio é o Senhor Com todo o meu ser Com tudo o que sou Sempre Te adorarei Aclame ao Senhor, toda a terra e cantemos Poder, majestade e louvores ao Rei Montanhas se prostrem e rujam os mares Ao som de Teu nome Alegre Te louvo por Teus grandes feitos Firmado estarei, sempre Te amarei Incomparáveis são Tuas promessas Aclame ao Senhor, toda a terra e cantemos Poder, majestade e louvores ao Rei Montanhas se prostrem e rujam os mares Ao som de Teu nome Alegre Te louvo por Teus grandes feitos Firmado estarei, sempre Te amarei (Te amarei) Incomparáveis são Tuas promessas (oh, oh, oh) Aclame ao Senhor, toda a terra e cantemos Poder, majestade e louvores ao Rei (louvores ao Rei) Montanhas se prostrem e rujam os mares Ao som de Teu nome Alegre Te louvo por Teus grandes feitos Firmado estarei, sempre Te amarei (sempre Te amarei) Incomparáveis são Tuas promessas (uh, uh) Incomparáveis são Tuas promessas Incomparáveis são Tuas promessas Incomparáveis são Tuas promessas Incomparáveis são Tuas promessas Incomparáveis são Tuas promessas Incomparáveis são Tuas promessas pra mim "
So High,Doja Cat,533.099,"Blow, weed, coke, pop X Speedin' up the heartbeat bangin' in the chest When you put it on me, you relieve my stress You got me so high, takin' deep, deep breaths You get me so high, you get me so high I know you ain't a drug, but you get me so high You get me so high, you get me so high I know you ain't a drug, but you get me so high You get me so high, you get me so high I know you ain't a drug, but you get me so high You get me so high, you get me so high You get me so high, you get me so high, high You got me so turnt up This dude got a bitch so high Weed always on my mind Now he always on my mind Doja Know you want some of this purr You ain't gotta say a word Just spark that, let's get burnt, ah Then we'll roll up a hundred fuckin' blunts All up in my mouth, now I'm all up in yo' This nigga got pounds of it all up in his trunk Now we both look Asian, he wavin' and I'm drunk I got dank shit in my cup, you know what I'ma do to you I could get real used to you, blow, weed, X And we sippin' on that juicy-juice, that's just what she choose to do Oh, man, the shit these drugs will do to you Blow, weed, coke, pop X Speedin' up the heartbeat bangin' in the chest When you put it on me, you relieve my stress You got me so high, takin' deep, deep breaths You get me so high, you get me so high I know you ain't a drug, but you get me so high You get me so high, you get me so high I know you ain't a drug, but you get me so high You get me so high, you get me so high I know you ain't a drug, but you get me so high You get me so high, you get me so high You get me so high, you get me so high, high (Six hits, ten pounds, gone off the dro) (Six hits, ten pounds, gone off the dro) (Six hits, ten pounds, gone off the dro) (Gone off the dro, gone off the dro) "
Eu Me Apaixonei,Vitinho Imperador,14.305,"(Tell me how I'm supposed to breathe with no air) Isso é Vitinho Imperador É som de paredão O solinho que vai ficar na sua mente aí, ó Bora, [?], bota pra estourar Ó Fazia tempo que eu não via ninguém Pra mexer tanto com o vaqueiro aqui Última vez que eu falei: Meu bem Não fui tão bem correspondido assim Cê tem os olhos como a cor do mar É viciante igual o sabor do mel Uma raba que é de alucinar Que me leva ao céu Vidrei em tu quando eu te vi no piseiro Posturadona e um olhar bandoleiro Imaginei o gostinho do teu beijo Eu me apaixonei Essa bandida eu já quero pra mim Se for feitiço, eu já me enfeiticei Vou chegar junto pra dançar coladinho Eu me apaixonei Fazia tempo que eu não via ninguém Pra mexer tanto com o vaqueiro aqui Última vez que eu falei: Meu bem Não fui tão bem correspondido assim Cê tem os olhos como a cor do mar É viciante igual o sabor do mel Uma raba que é de alucinar Que me leva ao céu Vidrei em tu quando eu te vi no piseiro Posturadona e um olhar bandoleiro Imaginei o gostinho do teu beijo Eu me apaixonei Essa bandida eu já quero pra mim Se for feitiço, eu já me enfeiticei Vou chegar junto pra dançar coladinho Eu me apaixonei Vidrei em tu quando eu te vi no piseiro Posturadona e um olhar bandoleiro Imaginei o gostinho do teu beijo Eu me apaixonei Essa bandida eu já quero pra mim Se for feitiço, eu já me enfeiticei Vou chegar junto pra dançar coladinho Eu me, ai Vidrei em tu quando eu te vi no piseiro Posturadona e um olhar bandoleiro Imaginei o gostinho do teu beijo Eu me apaixonei Essa bandida eu já quero pra mim Se for feitiço, eu já me enfeiticei Vou chegar junto pra dançar coladinho Eu me apaixonei Apaixonei, apaixonei, apaixonei, apaixonei, uou Eu me apaixonei Eu me apaixonei "
No Cume,Falcão,2.153.528,"Ai! No alto daquele cume Plantei uma roseira O vento no cume bate A rosa no cume cheira Quando vem a chuva fina Salpicos no cume caem Formigas no cume entram Abelhas do cume saem Quando cai a chuva grossa A água do cume desce O barro do cume escorre O mato no cume cresce Então, quando cessa a chuva No cume volta a alegria Pois torna a brilhar de novo O Sol que no cume ardia No alto daquele cume Plantei uma roseira O vento no cume bate A rosa no cume cheira Quando vem a chuva fina Salpicos no cume caem Formigas no cume entram Abelhas do cume saem Quando cai a chuva grossa A água do cume desce O barro do cume escorre O mato no cume cresce Então, quando cessa a chuva No cume volta a alegria Pois torna a brilhar de novo O Sol que no cume ardia Pois torna a brilhar de novo O Sol que no cume ardia Pois torna a brilhar de novo O Sol que no cume ardia "
Let Her Go,Passenger,7.301.252,"Well, you only need the light when it's burning low Only miss the Sun when it starts to snow Only know you love her when you let her go Only know you've been high when you're feeling low Only hate the road when you're missing home Only know you love her when you let her go And you let her go Staring at the bottom of your glass Hoping one day you'll make a dream last But dreams come slow and they go so fast You see her when you close your eyes Maybe one day you'll understand why Everything you touch surely dies But you only need the light when it's burning low Only miss the Sun when it starts to snow Only know you love her when you let her go Only know you've been high when you're feeling low Only hate the road when you're missing home Only know you love her when you let her go Staring at the ceiling in the dark Same old empty feeling in your heart 'Cause love comes slow and it goes so fast Well, you see her when you fall asleep But never to touch and never to keep 'Cause you loved her too much and you dived too deep Well, you only need the light when it's burning low Only miss the Sun when it starts to snow Only know you love her when you let her go Only know you've been high when you're feeling low Only hate the road when you're missing home Only know you love her when you let her go And you let her go Oh, oh, woah, oh, oh And you let her go Oh, oh, woah, oh, oh When you let her go Whoa 'Cause you only need the light when it's burning low Only miss the Sun when it starts to snow Only know you love her when you let her go Only know you've been high when you're feeling low Only hate the road when you're missing home Only know you love her when you let her go 'Cause you only need the light when it's burning low Only miss the Sun when it starts to snow Only know you love her when you let her go Only know you've been high when you're feeling low Only hate the road when you're missing home Only know you love her when you let her go And you let her go "
Amo Noite e Dia,Jorge & Mateus,6.022.706,"Tem um pedaço do meu peito bem colado ao teu Alguma chave, algum segredo, que me prende ao seu Um jeito perigoso de me conquistar Teu jeito tão gostoso de me abraçar Tudo se perde, se transforma se ninguém te vê Eu busco às vezes nos detalhes encontrar você O tempo já não passa, só anda pra trás Me perco nessa estrada, não aguento mais Iê, iê Passa o dia, passa a noite, tô apaixonado Coração no peito sofre sem você do lado E dessa vez tudo é real, nada de fantasia Saiba que eu te amo, amo noite e dia Tem um pedaço do meu peito bem colado ao teu Alguma chave, algum segredo, que me prende ao teu Um jeito perigoso de me conquistar Teu jeito tão gostoso de me abraçar Tudo se perde, se transforma se ninguém te vê Eu busco às vezes nos detalhes encontrar você O tempo já não passa, só anda pra trás Me perco nessa estrada, não aguento mais Iê, iê Passa o dia, passa a noite, tô apaixonado Coração no peito sofre sem você do lado Dessa vez tudo é real, nada de fantasia Saiba que eu te amo, amo noite e dia Passa o dia, passa a noite, tô apaixonado Coração no peito sofre sem você do lado Dessa vez tudo é real, nada de fantasia Saiba que eu te amo, eu amo noite e dia Amo noite e dia Iê, iê Coração no peito sofre sem você do lado Dessa vez tudo é real, nada de fantasia Saiba que eu te amo, amo noite e dia Amo noite e dia Iê, iê "
Meu Senhor e Meu Deus,Eugênio Jorge,242.371,"Meu Senhor e meu Deus Meu Senhor e meu Deus Meu Senhor e meu Deus Eu creio, mas aumenta minha fé Meu Senhor e meu Deus Meu Senhor e meu Deus Meu Senhor e meu Deus Eu creio, mas aumenta minha fé Dá-me uma fé viva Dá-me uma fé nova Traduzida na vida Testemunhada no amor pelos irmãos Dá-me uma fé viva Dá-me uma fé nova Traduzida na vida Testemunhada no amor pelos irmãos Meu Senhor e meu Deus Meu Senhor e meu Deus Meu Senhor e meu Deus Eu creio, mas aumenta minha fé Meu Senhor e meu Deus Meu Senhor e meu Deus Meu Senhor e meu Deus Eu creio, mas aumenta minha fé Dá-me uma fé viva Dá-me uma fé nova Traduzida na vida Testemunhada no amor pelos irmãos Dá-me uma fé viva Dá-me uma fé nova Traduzida na vida Testemunhada no amor pelos irmãos Dá-me uma fé viva Dá-me uma fé nova Traduzida na vida Testemunhada no amor pelos irmãos "
Hino da Independência do Brasil,Hinos,2.259.230,"Já podeis, da Pátria filhos Ver contente a Mãe gentil Já raiou a liberdade No horizonte do Brasil Já raiou a liberdade Já raiou a liberdade No horizonte do Brasil Brava gente brasileira Longe vá, temor servil Ou ficar a Pátria livre Ou morrer pelo Brasil Ou ficar a Pátria livre Ou morrer pelo Brasil Os grilhões que nos forjava Da perfídia astuto ardil Houve mão mais poderosa Zombou deles o Brasil Houve mão mais poderosa Houve mão mais poderosa Zombou deles o Brasil Brava gente brasileira Longe vá, temor servil Ou ficar a Pátria livre Ou morrer pelo Brasil Ou ficar a Pátria livre Ou morrer pelo Brasil Não temais ímpias falanges Que apresentam face hostil Vossos peitos, vossos braços São muralhas do Brasil Vossos peitos, vossos braços Vossos peitos, vossos braços São muralhas do Brasil Brava gente brasileira Longe vá, temor servil Ou ficar a Pátria livre Ou morrer pelo Brasil Ou ficar a Pátria livre Ou morrer pelo Brasil Parabéns, ó brasileiros Já, com garbo juvenil Do universo entre as nações Resplandece a do Brasil Do universo entre as nações Do universo entre as nações Resplandece a do Brasil Brava gente brasileira Longe vá, temor servil Ou ficar a Pátria livre Ou morrer pelo Brasil Ou ficar a Pátria livre Ou morrer pelo Brasil "
Stairway To Heaven,Led Zeppelin,4.693.706,"There's a lady who's sure All that glitters is gold And she's buying a stairway to heaven When she gets there, she knows If the stores are all closed With a word she can get what she came for Ooh-ooh-ooh Ooh-ooh-ooh-ooh-ooh And she's buying a stairway to heaven There's a sign on the wall But she wants to be sure 'Cause you know sometimes words have two meanings In a tree by the brook There's a songbird who sings Sometimes all of our thoughts are misgiven Ooh, it makes me wonder Ooh, makes me wonder There's a feeling I get When I look to the west And my spirit is crying for leaving In my thoughts, I have seen Rings of smoke through the trees And the voices of those who stand looking Ooh, makes me wonder Ooh, really makes me wonder And it's whispered that soon If we all call the tune Then the piper will lead us to reason And a new day will dawn For those who stand long And the forests will echo with laughter Oh, whoa, whoa, whoa, whoa, oh If there's a bustle in your hedgerow Don't be alarmed now It's just a spring-clean for the May Queen Yes, there are two paths you can go by But in the long run There's still time to change the road you're on And it makes me wonder Oh, whoa, whoa, oh Your head is humming and it won't go In case you don't know The piper's calling you to join him Dear lady, can you hear the wind blow? And did you know Your stairway lies on the whispering wind? And as we wind on down the road Our shadows taller than our soul There walks a lady we all know Who shines white light and wants to show How everything still turns to gold And if you listen very hard The tune will come to you, at last When all are one and one is all, yeah To be a rock and not to roll And she's buying a stairway to heaven "
Heather,Conan Gray,3.544.280,"I still remember third of December, me in your sweater You said it looked better on me than it did you Only if you knew how much I liked you But I watch your eyes as she Walks by What a sight for sore eyes, brighter than a blue sky She's got you mesmerized while I die Why would you ever kiss me? I'm not even half as pretty You gave her your sweater, it's just polyester But you like her better (Wish I were Heather) Watch as she stands with her holding your hand Put your arm 'round her shoulder, now I'm getting colder But how could I hate her? She's such an angel But then again, kinda wish she were dead as she Walks by What a sight for sore eyes, brighter than a blue sky She's got you mesmerized while I die Why would you ever kiss me? I'm not even half as pretty You gave her your sweater, it's just polyester But you like her better I wish I were Heather (Oh) wish I were Heather (Oh, oh) wish I were Heather Why would you ever kiss me? I'm not even half as pretty You gave her your sweater, it's just polyester But you like her better Wish I were "
Aos Pés Da Cruz,Kleber Lucas,3.634.805,"Meu Jesus, maravilhoso és Minha inspiração a prosseguir E mesmo quando tudo não vai bem Eu continuo olhando para Ti Pois sei que Tu tens o melhor pra mim Há um segredo no Teu coração Ó, dá-me forças pra continuar Guardando a promessa em oração Firme, ó, Deus, está o meu coração Firme nas promessas do Senhor Eu continuo olhando para Ti E assim eu sei que posso prosseguir E mesmo quando eu chorar As minhas lágrimas serão Para regar a minha fé E consolar meu coração Pois o que chora aos pés da cruz Clamando em nome de Jesus Alcançará de Ti, Senhor Misericórdia, graça e luz Teu grande amor não cessa Eterno, não tem fim Quão grande és Tu, Senhor Quão grande és pra mim Tua graça é o meu refúgio Descanso no Teu poder Maravilhoso és, maravilhoso és pra mim Firme, ó, Deus, está o meu coração Firme nas promessas do Senhor Eu continuo olhando para Ti E assim eu sei que posso prosseguir E mesmo quando eu chorar As minhas lágrimas serão Para regar a minha fé E consolar meu coração Pois o que chora aos pés da cruz Clamando em nome de Jesus Alcançará de Ti, Senhor Misericórdia, graça e luz E mesmo quando eu chorar As minhas lágrimas serão Para regar a minha fé E consolar meu coração Pois o que chora aos pés da cruz Clamando em nome de Jesus Alcançará de Ti, Senhor Misericórdia, graça e luz Misericórdia, graça e luz Misericórdia, graça e luz "
